VEHICLE TYPE,STATE,MONTH,YEAR,MAKE,MODEL,VARIANT,IDV_VALUE
Two Wheeler,Andaman & Nicobar Is,March,2021,22KYMCO,IFLOW,STANDARD,85500*
Two Wheeler,Andaman & Nicobar Is,March,2021,22MOTORS,FLOW,STANDARD,71003*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,FEISTY,STANDARD,57200*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,INSPIRER,60V 25AH,68399*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,INSPIRER,60V 34AH,74099*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,INSPIRER,STANDARD,45599*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,JAUNTY,60V 25AH,68399*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,JAUNTY,60V 34AH,74099*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,JAUNTY,STANDARD,54719*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,JAUNTY 3W,STANDARD,71724*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,S-PIN,STANDARD,41426*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,MAGNUS,LEAD ACID BATTERY,47499*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,MAGNUS,PRO - LI BATTERY,70291*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO,LEAD ACID BATTERY,39519*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO,LI,51869*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO,PLUS LEAD ACID BATTERY,40366*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO,PLUS LI,53381*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO ELITE,LEAD ACID BATTERY,40849*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO ELITE,LI BATTERY,56991*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,V48,LEAD ACID BATTERY,34104*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,V48,LI,49589*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,ZEAL,LI,66119*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SR 160,CARBON BS VI,102192*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SR 160,FACELIFT BS VI,99252*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SR 160,RACE BS VI,107987*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SR125,BS VI FI,90287*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SR125,FACELIFT,90390*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,STORM 125,BS VI FI,82625*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,STORM 125,DISC,87971*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SXR 160,STANDARD,119697*
Two Wheeler,Andaman & Nicobar Is,March,2021,ATHER,450,STANDARD,104572*
Two Wheeler,Andaman & Nicobar Is,March,2021,ATHER,450,X PLUS,135295*
Two Wheeler,Andaman & Nicobar Is,March,2021,ATHER,450,X PRO,153355*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E STAR,STD,57000*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E-LITE,STD,26600*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E-MATE,STD,42750*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E-PLUS,STD,23750*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E-SCOOT,STD,42750*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E-ZAP,STD,38000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,AVENGER 220 CRUISE,BS VI,118402*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,AVENGER STREET 160,BS VI,97462*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CHETAK,PREMIUM,114000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CHETAK,URBANE,109250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CT 100,ES ALLOY BS VI,49212*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CT 100,KS ALLOY BS VI,42646*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CT 100,KS ALLOY BS VI FACELIFT,44949*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CT110,ES ALLOY BS VI,51431*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CT110,KS ALLOY BS VI,44092*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,DOMINAR 250,STANDARD,159332*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,DOMINAR 400,STANDARD BS VI,189767*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PLATINA,ES ALLOY BS VI FACELIFT,51224*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PLATINA,ES DISC,60399*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PLATINA,KS ALLOY BS VI FACELIFT,50269*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PLATINA 110 H-GEAR,ABS,62630*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PLATINA 110 H-GEAR,DISC BS VI,61086*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 125,DISC BS VI,74049*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 125,DRUM BS VI,68035*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 125,SPLIT SEAT,77180*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 125,SPLIT SEAT DRUM CBS,70583*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 150,NEON ABS BS VI,89419*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 150,SINGLE DISC ABS BS VI,96028*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 150,TWIN DISC ABS BS VI,99732*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 180,STANDARD,99530*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 180F,NEON ABS BS VI,108789*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 220F,BS VI,118986*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR NS160,TWIN DISC ABS BS VI,104582*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR NS200,BS VI,126561*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR RS200,BS VI,144570*
Two Wheeler,Andaman & Nicobar Is,March,2021,BATTRE,GPS IE,STANDARD,61741*
Two Wheeler,Andaman & Nicobar Is,March,2021,BATTRE,IOT,STANDARD,75999*
Two Wheeler,Andaman & Nicobar Is,March,2021,BATTRE,LO EV,STANDARD,56905*
Two Wheeler,Andaman & Nicobar Is,March,2021,BATTRE,ONE,STANDARD,70300*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENELLI,IMPERIALE 400,STANDARD,179550*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENELLI,LEONCINO,STANDARD,436050*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENELLI,TRK 502,STANDARD,455905*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENELLI,TRK 502X,STANDARD,493905*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,AURA,STANDARD,88540*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,FALCON,LEAD ACID,45743*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,FALCON,STANDARD,57385*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,ICON,LEAD ACID,48412*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,ICON,STANDARD,60051*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,KRITI,LEAD ACID,41111*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,KRITI,STANDARD,53562*
Two Wheeler,Andaman & Nicobar Is,March,2021,BGAUSS,A2,LEAD-ACID,49874*
Two Wheeler,Andaman & Nicobar Is,March,2021,BGAUSS,A2,LITHIUM-ION,64600*
Two Wheeler,Andaman & Nicobar Is,March,2021,BGAUSS,B8,LEAD-ACID,59850*
Two Wheeler,Andaman & Nicobar Is,March,2021,BGAUSS,B8,LI,84550*
Two Wheeler,Andaman & Nicobar Is,March,2021,BGAUSS,B8,LITHIUM-ION,78850*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,F900 R,STANDARD,1026000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,F900 XR,PRO,1178000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,F900 XR,STANDARD,1040250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,G 310 R,STANDARD,237500*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,G310GS,STANDARD,275500*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,M 1000 RR,COMPETITION,4275000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,M 1000 RR,STANDARD,3990000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R 1250 GS,PRO,1942750*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R 1250 GS ADVENTURE,PRO,2123250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R 1250 R,STANDARD,1543750*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R NINE T SCRAMBLER,STANDARD,1591250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R NINET,STANDARD,1757500*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R18,CLASSIC,2280000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R18,FIRST EDITION,2142250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R18,STANDARD,1890500*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,S 1000 XR,PRO,2023500*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,S1000 RR,PRO,2033000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,S1000 RR,PRO M SPORT,2256250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,S1000 RR,STANDARD,1852500*
Two Wheeler,Andaman & Nicobar Is,March,2021,CARBERRY,DOUBLE BARREL,1000CC,698250*
